Time,Source,Topic,SampleTime,PerfCounter,Elapsed
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959999.6503654,1314993.763671583,0.3118
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208960000.3027763,1314993.764885,1.1841
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.803392,1314993.764957958,0.0446
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208960000.4502325,1314993.765029,0.0397
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.701156,1314993.765251875,0.0144
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.701156,1314993.765304708,0.0173
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959999.4504805,1314993.765665166,0.0256
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959999.6005583,1314993.766065291,0.3623
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959999.6005583,1314993.766490416,0.3915
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208960000.2536244,1314993.767839833,1.3192
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.752274,1314993.767915291,0.0476
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208960000.40108,1314993.767971916,0.0275
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.652004,1314993.768174,0.0140
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.65397,1314993.768212958,0.0107
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959999.4003453,1314993.768518708,0.0208
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959999.5504227,1314993.768885041,0.3338
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959999.5504227,1314993.769222208,0.3087
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208960000.2044725,1314993.770556208,1.3077
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.701156,1314993.77064475,0.0524
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208960000.3519287,1314993.770705583,0.0295
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.600886,1314993.770934291,0.0253
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.602852,1314993.770973416,0.0106
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959999.3505383,1314993.771290916,0.0220
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959999.500616,1314993.771657166,0.3335
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959999.500616,1314993.7720175,0.3218
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208960000.15532,1314993.773312833,1.2687
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.65397,1314993.773384916,0.0405
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208960000.3027763,1314993.773444625,0.0312
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.5517335,1314993.773722416,0.0149
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.5517335,1314993.7737665,0.0119
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959999.300403,1314993.7741305,0.0254
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959999.4504805,1314993.774791166,0.6223
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959999.4504805,1314993.77531175,0.3923
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208960000.1061683,1314993.776995291,1.6297
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.602852,1314993.777160666,0.0971
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208960000.2536244,1314993.777249375,0.0386
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.500616,1314993.777681166,0.0411
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.500616,1314993.777769,0.0315
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959999.250596,1314993.77820025,0.0555
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959999.4003453,1314993.778600166,0.3616
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959999.4003453,1314993.778973791,0.3404
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208960000.057016,1314993.780414333,1.4104
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.5517335,1314993.780504333,0.0564
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208960000.2044725,1314993.780567083,0.0301
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.4514637,1314993.780853625,0.0341
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.4534297,1314993.780907583,0.0237
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959999.2004604,1314993.781282291,0.0431
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959999.3505383,1314993.781633666,0.3170
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959999.3505383,1314993.782008625,0.3453
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208960000.0078645,1314993.783477416,1.4405
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_LFS,-2208959999.500616,1314993.78357,0.0553
2025-01-21T12:00:35-0500,ezmsg.sigproc.scaler.AdaptiveStandardScaler,PREPROC/SCALER_HGA,-2208960000.15532,1314993.78364025,0.0359
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_HGA/DOWNSAMPLE,-2208959999.400346,1314993.7838955,0.0203
2025-01-21T12:00:35-0500,ezmsg.sigproc.downsample.Downsample,PREPROC/DEC_LFS/DOWNSAMPLE,-2208959999.402312,1314993.783935583,0.0118
2025-01-21T12:00:35-0500,ezmsg.sigproc.affinetransform.CommonRereference,PREPROC/CAR,-2208959999.150654,1314993.7842485,0.0212
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_HGA/FILTER,-2208959999.300403,1314993.784675791,0.3938
2025-01-21T12:00:35-0500,ezmsg.sigproc.decimate.ChebyForDecimate,PREPROC/DEC_LFS/FILTER,-2208959999.300403,1314993.785219,0.4302
2025-01-21T12:00:35-0500,ezmsg.sigproc.bandpower.BandPower,PREPROC/BP_HGA,-2208959999.958712,1314993.78688125,1.6132
